"Date","Time","Weight.before","Weight.after","Distance.km","Duration.M.S","Garmin.calories","Garmin.pace.M.S.km","Outside.temperature.deg.C","Humidty.."
"06/01/15","19:17:00",69.7,69.4,9.3,"46:15.49",679,"00:04:58",3.6,NA
"13/01/15","19:25:00",70.3,69.7,9.31,"45:42.77",679,"00:04:55",3.8,73
"15/01/15","18:25:00",69.9,69.1,9.24,"46:02.30",674,"00:04:59",3.4,72
"20/01/15","19:23:00",70,69.5,9.3,"45:01.22",679,"00:04:50",2.9,78
"27/01/15","19:13:00",69.4,69.1,9.3,"45:31.96",679,"00:04:54",6.7,66
"29/01/15","20:08:00",68.6,68.4,9.27,"44:57.03",677,"00:04:51",1.5,78
"10/02/15","19:39:00",68.8,68.3,9.31,"45:42.20",680,"00:04:54",4.6,73
"12/02/15","20:06:00",67.9,67.5,9.29,"45:27.69",678,"00:04:54",2.9,68
"17/02/15","19:50:00",67.7,67.2,9.29,"44:42.71",679,"00:04:49",3.3,67
"24/02/15","19:26:00",67.3,66.5,14.04,"01:09:43",1024,"00:04:58",5.1,68
"26/02/15","19:33:00",68,67.5,14.02,"01:09:14",1023,"00:04:56",4.1,56
"03/03/15","19:45:00",68.3,67.7,18.59,"01:32:48",1356,"00:05:00",3.7,61
"05/03/15","19:15:00",67.9,66.2,18.5,"01:33:19",1351,"00:05:03",7.7,60
"30/04/15","18:54:00",67.6,67.1,9.29,"00:45:22",678,"00:04:53",12.3,36
"07/07/15","19:05:00",69.1,68.4,8.82,"43:45.50",642,"00:04:58",19,38
